"YEAR","STATE.NAME","STATE.ABB","STATE.RANK","SENATE.D","SENATE.R","SENATE.I","SENATE.WOMEN","SENATE.TOTAL","HOUSE.D","HOUSE.R","HOUSE.I","HOUSE.WOMEN","HOUSE.TOTAL","TOTAL.WOMEN","TOTAL.LEGISLATURE","PERCENT.WOMEN"
1981,"Florida","FL",25,2,2,NA,4,40,9,4,NA,13,120,17,160,10.6
1979,"Florida","FL",16,NA,NA,NA,3,40,NA,NA,NA,15,120,18,160,11.3
1977,"Florida","FL",14,NA,NA,NA,2,40,NA,NA,NA,16,120,18,160,11.3
1975,"Florida","FL",20,NA,NA,NA,1,40,NA,NA,NA,12,120,13,160,8.1
2014,"Michigan","MI",36,2,2,NA,4,38,16,8,NA,24,110,28,148,18.9
2013,"Michigan","MI",36,2,2,NA,4,38,16,8,NA,24,110,28,148,18.9
2012,"Michigan","MI",36,2,2,NA,4,38,16,11,NA,27,110,31,148,20.9
2011,"Michigan","MI",36,2,2,NA,4,38,16,11,NA,27,110,31,148,20.9
2010,"Michigan","MI",23,6,3,NA,9,38,22,6,NA,28,110,37,148,25
2009,"Michigan","MI",22,6,3,NA,9,38,22,6,NA,28,110,37,148,25
2008,"Michigan","MI",32,6,3,NA,9,38,16,4,NA,20,110,29,148,19.6
2007,"Michigan","MI",30,6,3,NA,9,38,16,4,NA,20,110,29,148,19.6
2006,"Michigan","MI",29,6,6,NA,12,38,12,6,NA,18,110,30,148,20.3
2005,"Michigan","MI",27,5,6,NA,11,38,13,6,NA,19,110,30,148,20.3
2004,"Michigan","MI",23,5,6,NA,11,38,15,9,NA,24,110,35,148,23.6
2003,"Michigan","MI",23,5,6,NA,11,38,15,9,NA,24,110,35,148,23.6
2002,"Michigan","MI",26,3,3,NA,6,38,15,12,NA,27,110,33,148,22.3
2001,"Michigan","MI",25,3,3,NA,6,38,15,12,NA,27,110,33,148,22.3
2000,"Michigan","MI",21,2,3,NA,5,38,18,13,NA,31,110,36,148,24.3
