"YEAR","STATE.NAME","STATE.ABB","STATE.RANK","SENATE.D","SENATE.R","SENATE.I","SENATE.WOMEN","SENATE.TOTAL","HOUSE.D","HOUSE.R","HOUSE.I","HOUSE.WOMEN","HOUSE.TOTAL","TOTAL.WOMEN","TOTAL.LEGISLATURE","PERCENT.WOMEN"
2010,"Wyoming","WY",41,2,0,NA,2,30,6,7,NA,13,60,15,90,16.7
2009,"Wyoming","WY",41,2,0,NA,2,30,6,7,NA,13,60,15,90,16.7
2008,"Wyoming","WY",24,3,1,NA,4,30,8,9,NA,17,60,21,90,23.3
2006,"Wyoming","WY",44,3,1,NA,4,30,4,6,NA,10,60,14,90,15.6
2005,"Wyoming","WY",45,3,1,NA,4,30,4,5,NA,9,60,13,90,14.4
2004,"Wyoming","WY",37,4,2,NA,6,30,6,4,NA,10,60,16,90,17.8
2003,"Wyoming","WY",37,3,2,NA,5,30,6,5,NA,11,60,16,90,17.8
2002,"Wyoming","WY",41,3,2,NA,5,30,4,5,NA,9,60,14,90,15.6
2001,"Wyoming","WY",41,3,2,NA,5,30,4,5,NA,9,60,14,90,15.6
2000,"Wyoming","WY",32,3,2,NA,5,30,7,5,NA,12,60,17,90,18.9
1999,"Wyoming","WY",31,3,2,NA,5,30,8,5,NA,13,60,18,90,20
1998,"Wyoming","WY",31,2,2,NA,4,30,6,6,NA,12,60,16,90,17.8
1997,"Wyoming","WY",31,2,2,NA,4,30,6,6,NA,12,60,16,90,17.8
1996,"Wyoming","WY",24,0,1,NA,1,30,7,11,NA,18,60,19,90,21.1
1995,"Wyoming","WY",24,0,1,NA,1,30,7,11,NA,18,60,19,90,21.1
1994,"Wyoming","WY",17,1,4,NA,5,30,6,11,NA,17,60,22,90,24.4
1993,"Wyoming","WY",16,1,4,NA,5,30,6,11,NA,17,60,22,90,24.4
1992,"Wyoming","WY",11,3,0,NA,3,30,7,13,NA,20,64,23,94,24.5
1991,"Wyoming","WY",11,3,0,NA,3,30,7,13,NA,20,64,23,94,24.5
1990,"Wyoming","WY",11,4,0,NA,4,30,7,11,NA,18,64,22,94,23.4
1989,"Wyoming","WY",11,4,0,NA,4,30,7,11,NA,18,64,22,94,23.4
1988,"Wyoming","WY",7,3,0,NA,3,30,8,10,NA,18,64,21,94,22.3
1987,"Wyoming","WY",7,3,0,NA,3,30,8,10,NA,18,64,21,94,22.3
1986,"Wyoming","WY",3,2,0,NA,2,30,11,11,NA,22,64,24,94,25.5
1985,"Wyoming","WY",3,2,0,NA,2,30,11,11,NA,22,64,24,94,25.5
1984,"Wyoming","WY",3,2,1,NA,3,30,11,8,NA,19,64,22,94,23.4
1983,"Wyoming","WY",4,2,1,NA,3,30,11,8,NA,19,64,22,94,23.4
1981,"Wyoming","WY",9,2,1,NA,3,30,6,8,NA,14,62,17,92,18.5
1979,"Wyoming","WY",8,NA,NA,NA,2,30,NA,NA,NA,14,62,16,92,17.4
1977,"Wyoming","WY",24,NA,NA,NA,1,30,NA,NA,NA,6,62,7,92,7.6
1975,"Wyoming","WY",22,NA,NA,NA,1,30,NA,NA,NA,6,62,7,92,7.6
2014,"Illinois","IL",7,11,4,NA,15,59,31,10,NA,41,118,56,177,31.6
2013,"Illinois","IL",7,11,4,NA,15,59,30,10,NA,40,118,55,177,31.1
2012,"Illinois","IL",7,10,6,NA,16,59,28,11,NA,42,118,55,177,31.1
2011,"Illinois","IL",7,10,6,NA,16,59,28,11,NA,39,118,55,177,31.1
2010,"Illinois","IL",16,10,3,NA,13,59,25,12,NA,37,118,50,177,28.2
2009,"Illinois","IL",15,10,3,NA,13,59,25,11,NA,36,118,49,177,27.7
2008,"Illinois","IL",18,10,3,NA,13,59,23,12,NA,35,118,48,177,27.1
2007,"Illinois","IL",17,10,3,NA,13,59,23,12,NA,35,118,48,177,27.1
2006,"Illinois","IL",17,9,5,NA,14,59,24,10,NA,34,118,48,177,27.1
2005,"Illinois","IL",16,9,5,NA,14,59,24,11,NA,35,118,49,177,27.7
2004,"Illinois","IL",11,9,4,NA,13,59,24,13,NA,37,118,50,177,28.2
2003,"Illinois","IL",16,8,3,NA,11,59,23,14,NA,37,118,48,177,27.1
2002,"Illinois","IL",16,6,6,NA,12,59,20,15,NA,35,118,47,177,26.6
2001,"Illinois","IL",15,6,6,NA,12,59,20,15,NA,35,118,47,177,26.6
2000,"Illinois","IL",16,6,6,NA,12,59,18,14,NA,32,118,44,177,24.9
1999,"Illinois","IL",16,5,7,NA,12,59,19,14,NA,33,118,45,177,25.4
1998,"Illinois","IL",16,4,6,NA,10,59,18,17,NA,35,118,45,177,25.4
1997,"Illinois","IL",14,5,6,NA,11,59,18,17,NA,35,118,46,177,26
1996,"Illinois","IL",21,5,5,NA,10,59,15,16,NA,31,118,41,177,23.2
1995,"Illinois","IL",21,5,5,NA,10,59,15,16,NA,31,118,41,177,23.2
1994,"Illinois","IL",20,6,6,NA,12,59,15,14,NA,29,118,41,177,23.2
1993,"Illinois","IL",18,5,6,NA,11,59,15,15,NA,30,118,41,177,23.2
1992,"Illinois","IL",22,6,6,NA,12,59,11,10,NA,21,118,33,177,18.6
1991,"Illinois","IL",23,6,6,NA,12,59,11,10,NA,21,118,33,177,18.6
1990,"Illinois","IL",20,6,6,NA,12,59,9,12,NA,21,118,33,177,18.6
1989,"Illinois","IL",18,6,6,NA,12,59,9,12,NA,21,118,33,177,18.6
1988,"Illinois","IL",19,6,6,NA,12,59,9,11,NA,20,118,32,177,18.1
1987,"Illinois","IL",19,6,6,NA,12,59,9,11,NA,20,118,32,177,18.1
1986,"Illinois","IL",18,4,6,NA,10,59,8,12,NA,20,118,30,177,16.9
1985,"Illinois","IL",18,4,6,NA,10,59,8,12,NA,20,118,30,177,16.9
1984,"Illinois","IL",15,4,4,NA,8,59,7,13,NA,20,118,28,177,15.8
1983,"Illinois","IL",15,4,4,NA,8,59,6,13,NA,19,118,27,177,15.3
1981,"Illinois","IL",14,2,2,NA,4,59,10,18,NA,28,177,32,236,13.6
1979,"Illinois","IL",17,NA,NA,NA,4,59,NA,NA,NA,22,177,26,236,11
1977,"Illinois","IL",21,NA,NA,NA,3,59,NA,NA,NA,18,177,21,236,8.9
1975,"Illinois","IL",31,NA,NA,NA,2,59,NA,NA,NA,12,177,14,236,5.9
2014,"Montana","MT",16,5,5,NA,10,50,23,8,NA,31,100,41,150,27.3
2013,"Montana","MT",17,5,5,NA,10,50,23,8,NA,31,100,41,150,27.3
2012,"Montana","MT",26,6,2,NA,8,50,19,9,NA,28,100,36,150,24
2011,"Montana","MT",24,6,2,NA,8,50,19,9,NA,28,100,36,150,24
2010,"Montana","MT",18,8,2,NA,10,50,23,6,NA,29,100,39,150,26
2009,"Montana","MT",18,8,2,NA,10,50,23,6,NA,29,100,39,150,26
2008,"Montana","MT",21,8,1,NA,9,50,20,8,NA,28,100,37,150,24.7
2007,"Montana","MT",19,8,1,NA,9,50,20,8,NA,28,100,37,150,24.7
2006,"Montana","MT",20,6,1,NA,7,50,22,8,NA,30,100,37,150,24.7
2005,"Montana","MT",20,6,1,NA,7,50,22,8,NA,30,100,37,150,24.7
2004,"Montana","MT",22,7,1,NA,8,50,19,10,NA,29,100,37,150,24.7
2003,"Montana","MT",21,7,1,NA,8,50,19,10,NA,29,100,37,150,24.7
2002,"Montana","MT",20,7,1,NA,8,50,15,13,NA,28,100,36,150,24
2001,"Montana","MT",23,7,0,NA,7,50,15,12,NA,27,100,34,150,22.7
2000,"Montana","MT",17,8,0,NA,8,50,18,11,NA,29,100,37,150,24.7
1999,"Montana","MT",19,8,0,NA,8,50,18,11,NA,29,100,37,150,24.7
1998,"Montana","MT",21,8,1,NA,9,50,15,11,NA,26,100,35,150,23.3
1997,"Montana","MT",21,8,1,NA,9,50,15,11,NA,26,100,35,150,23.3
1996,"Montana","MT",17,7,2,NA,9,50,11,16,NA,27,100,36,150,24
1995,"Montana","MT",17,7,2,NA,9,50,11,16,NA,27,100,36,150,24
1994,"Montana","MT",24,8,2,NA,10,50,14,8,NA,22,100,32,150,21.3
1993,"Montana","MT",25,7,2,NA,9,50,13,8,NA,21,100,30,150,20
1992,"Montana","MT",19,7,1,NA,8,50,18,5,NA,23,100,31,150,20.7
1991,"Montana","MT",19,7,1,NA,8,50,18,5,NA,23,100,31,150,20.7
1990,"Montana","MT",22,5,1,NA,6,50,16,5,NA,21,100,27,150,18
1989,"Montana","MT",21,5,1,NA,6,50,16,5,NA,21,100,27,150,18
1988,"Montana","MT",27,5,1,NA,6,50,13,4,NA,17,100,23,150,15.3
1987,"Montana","MT",27,5,1,NA,6,50,13,4,NA,17,100,23,150,15.3
1986,"Montana","MT",24,4,1,NA,5,50,13,4,NA,17,100,22,150,14.7
1985,"Montana","MT",24,4,1,NA,5,50,13,4,NA,17,100,22,150,14.7
1984,"Montana","MT",26,2,1,NA,3,50,12,4,NA,16,100,19,150,12.7
1983,"Montana","MT",25,2,1,NA,3,50,12,4,NA,16,100,19,150,12.7
1981,"Montana","MT",22,3,1,NA,4,50,6,7,NA,13,100,17,150,11.3
1979,"Montana","MT",22,NA,NA,NA,1,50,NA,NA,NA,13,100,14,150,9.3
1977,"Montana","MT",18,NA,NA,NA,2,50,NA,NA,NA,12,100,14,150,9.3
1975,"Montana","MT",17,NA,NA,NA,4,50,NA,NA,NA,10,100,14,150,9.3
2014,"Nebraska","NE",34,NA,NA,NA,10,49,NA,NA,NA,NA,NA,10,49,20.4
2013,"Nebraska","NE",35,NA,NA,NA,10,49,NA,NA,NA,NA,NA,10,49,20.4
2012,"Nebraska","NE",30,NA,NA,NA,11,49,NA,NA,NA,NA,NA,11,49,22.4
2011,"Nebraska","NE",29,NA,NA,NA,11,49,NA,NA,NA,NA,NA,11,49,22.4
2010,"Nebraska","NE",36,NA,NA,NA,10,49,NA,NA,NA,NA,NA,10,49,20.4
2009,"Nebraska","NE",36,NA,NA,NA,10,49,NA,NA,NA,NA,NA,10,49,20.4
2008,"Nebraska","NE",37,NA,NA,NA,9,49,NA,NA,NA,NA,NA,9,49,18.4
2007,"Nebraska","NE",36,NA,NA,NA,9,49,NA,NA,NA,NA,NA,9,49,18.4
2006,"Nebraska","NE",21,NA,NA,NA,12,49,NA,NA,NA,NA,NA,12,49,24.5
2005,"Nebraska","NE",21,NA,NA,NA,12,49,NA,NA,NA,NA,NA,12,49,24.5
2004,"Nebraska","NE",35,NA,NA,NA,9,49,NA,NA,NA,NA,NA,9,49,18.4
2003,"Nebraska","NE",35,NA,NA,NA,9,49,NA,NA,NA,NA,NA,9,49,18.4
2002,"Nebraska","NE",31,NA,NA,NA,10,49,NA,NA,NA,NA,NA,10,49,20.4
2001,"Nebraska","NE",35,NA,NA,NA,9,49,NA,NA,NA,NA,NA,9,49,18.4
2000,"Nebraska","NE",20,NA,NA,NA,12,49,NA,NA,NA,NA,NA,12,49,24.5
1999,"Nebraska","NE",20,NA,NA,NA,12,49,NA,NA,NA,NA,NA,12,49,24.5
1998,"Nebraska","NE",12,NA,NA,NA,13,49,NA,NA,NA,NA,NA,13,49,26.5
1997,"Nebraska","NE",12,NA,NA,NA,13,49,NA,NA,NA,NA,NA,13,49,26.5
1996,"Nebraska","NE",14,NA,NA,NA,12,49,NA,NA,NA,NA,NA,12,49,24.5
1995,"Nebraska","NE",14,NA,NA,NA,12,49,NA,NA,NA,NA,NA,12,49,24.5
1994,"Nebraska","NE",22,NA,NA,NA,11,49,NA,NA,NA,NA,NA,11,49,22.4
1993,"Nebraska","NE",23,NA,NA,NA,10,49,NA,NA,NA,NA,NA,10,49,20.4
1992,"Nebraska","NE",24,NA,NA,NA,9,49,NA,NA,NA,NA,NA,9,49,18.4
1991,"Nebraska","NE",24,NA,NA,NA,9,49,NA,NA,NA,NA,NA,9,49,18.4
1990,"Nebraska","NE",15,NA,NA,NA,10,49,NA,NA,NA,NA,NA,10,49,20.4
1989,"Nebraska","NE",20,NA,NA,NA,9,49,NA,NA,NA,NA,NA,9,49,18.4
1988,"Nebraska","NE",18,NA,NA,NA,9,49,NA,NA,NA,NA,NA,9,49,18.4
1987,"Nebraska","NE",18,NA,NA,NA,9,49,NA,NA,NA,NA,NA,9,49,18.4
1986,"Nebraska","NE",20,NA,NA,NA,8,49,NA,NA,NA,NA,NA,8,49,16.3
1985,"Nebraska","NE",20,NA,NA,NA,8,49,NA,NA,NA,NA,NA,8,49,16.3
1984,"Nebraska","NE",27,NA,NA,NA,6,49,NA,NA,NA,NA,NA,6,49,12.2
1983,"Nebraska","NE",27,NA,NA,NA,6,49,NA,NA,NA,NA,NA,6,49,12.2
1981,"Nebraska","NE",27,NA,NA,NA,5,49,NA,NA,NA,NA,NA,5,49,10.2
1979,"Nebraska","NE",40,NA,NA,NA,3,49,NA,NA,NA,NA,NA,3,49,6.1
1977,"Nebraska","NE",45,NA,NA,NA,2,49,NA,NA,NA,NA,NA,2,49,4.1
1975,"Nebraska","NE",48,NA,NA,NA,1,49,NA,NA,NA,NA,NA,1,49,2
